,SKU,Product Description,Menge / Unit (Reference),Product Qty,Purchase,Shipping,Free Shipping,Purchace incl. Freight,Purchasing Total,Margin %,Yield,Unique Selling Price,Total Selling Price
86,,,20.0,77760.0,"0,300","4,99",250.0,"0,300",23328,"0,10","2332,80","0,33€","25660,80"
87,,,,,,,,,,,,,
88,100605010000,"Bambus-Thermobecher 400ml (inkl. Teesieb) , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 82 , Kartons auf Palette
 = 12",1.0,10.0,"10,750","4,99",250.0,"11,249","112,49","0,45","50,62","16,31€","163,11"
89,,,2.0,20.0,"10,750","4,99",250.0,"11,000","219,99","0,42","92,40","15,62€","312,39"
90,,,3.0,30.0,"10,750","4,99",250.0,"10,750","322,5","0,38","122,55","14,84€","445,05"
91,,,4.0,40.0,"10,750","4,99",250.0,"10,750",430,"0,36","154,80","14,62€","584,80"
92,,,5.0,50.0,"10,750","4,99",250.0,"10,750","537,5","0,34","182,75","14,41€","720,25"
93,,,6.0,60.0,"10,750","4,99",250.0,"10,750",645,"0,32","206,40","14,19€","851,40"
94,,,7.0,70.0,"10,750","4,99",250.0,"10,750","752,5","0,28","210,70","13,76€","963,20"
95,,,8.0,80.0,"10,750","4,99",250.0,"10,750",860,"0,26","223,60","13,55€","1083,60"
96,,,9.0,90.0,"10,750","4,99",250.0,"10,750","967,5","0,24","232,20","13,33€","1199,70"
